id_study,es,vi,Pain Dimension,rob,risk_of_bias,intervention_group,control_group,sample,device,sr_clinician,outcome_type,outc_measure,time_weeks,year,format,country,age_group,mean_age,percent_women,app_compatible_y_n,device_supported_vr_smartphone_website,clbp_diagnosis_cutoff,pain_duration_months,duration_of_intervention,intervention_type,control_type,study_label,se,yi,es_id,study_id,study,time,post_m_ig,post_sd_ig,post_se_ig,post_n_ig,post_m_cg,post_sd_cg,post_se_cg,post_n_cg,baseline_m_ig,baseline_sd_ig,baseline_se_ig,baseline_n_ig,baseline_m_cg,baseline_sd_cg,baseline_se_cg,baseline_n_cg,change_m_ig,change_m_cg,change_sd_ig,change_sd_cg,change_ig_ci_lower,change_ig_ci_upper,change_cg_ci_lower,change_cg_ci_upper,change_n_ig,change_n_cg,ki,study_title,notes,cond_spec_trt1,cond_spec_trt2,descr_ig,descr_cg,multiple_arms_ig,multiple_arms_cg,rob2_1_randomization,rob2_2_deviations,rob2_3_missing,rob2_4_measurement,rob2_5_selection,doi,title,journal,domain_1_rating_algorithm,domain_2_rating_algorithm,domain_3_rating_algorithm,domain_4_rating_algorithm_sr,domain_4_rating_algorithm_cr,domain_5_rating_algorithm,overall_score_algorithm,sample_size,type_of_intervention_cog_exer_both_bt_pe_pa_phy_at,control_condition_tau_wlc_injusted_intervention,instrument
"Amorim, 2019",0.06852907862072868,0.073968664636048,Pain Intensity,1,Some concern,CBT + Exercise,Inactive Control,itt,app,sr,msd,pain intensity,24,2019,gsh,au,adul,58.4,0.5,yes,internet application,3,n.i.,6 months (24 weeks),both,TAU,"Amorim, 2019 - Pain Intensity",0.2719718085317815,0.06852907862072868,1,1,"Amorim, 2019",post,3.8,2.4,NA,31,4,3.4,NA,24,5.3,1.9,NA,34,5.1,1.4,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Integrating Mobile-health, health coaching, and physical activity to reduce the burden of chronic low back pain trial","NA",cbt + activity (ds-exercise),tau,"physical activity booklet, face-to-face and telephone baced health coaching sessions, internet based application, activity tracker",standard care,"NA","NA","NA","NA","NA","NA","NA",10.1186/s12891-019-2454-y,"Open AccessIntegrating Mobile-health, health coaching,and physical activity to reduce the burdenof chronic low back pain trial (IMPACT): apilot randomised controlled trial",BMC Musculoskeletal Disorders,LR,LR,SC,LR,"NA",LR,SC,55,NA,NA,NA
"Barone Gibbs, 2017",0.43312060555980914,0.1520461158865149,Pain Intensity,0,Low,CBT + Exercise,Inactive Control,itt,app,sr,msd,pain intensity,24,2017,gsh,us,adul,ig: 52 (9); cg: 51 (23),0.78,no,telephone; activity prompter,3,n.i.,6 months (24 weeks),both,wlc,"Barone Gibbs, 2017 - Pain Intensity",0.3899309116837429,0.43312060555980914,2,2,"Barone Gibbs, 2017",post,2.5,1.2,NA,13,3.3,2.2,NA,14,5.1,1.8,NA,13,4.6,1.4,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Reducing sedentary behaviour to decrease chronic low back pain,/,cbt + activity,wlc/no intervention,"behavioural counselling, sit-stand desk, activity prompter",no intervention,"NA","NA","NA","NA","NA","NA","NA",10.1136/oemed-2017-104732,Reducing sedentary behaviour to decrease chronic low back pain: the stand back randomised trial,Occupational and Environmental Medicine,LR,LR,LR,LR,"NA",LR,LR,27,NA,NA,NA
"Carpenter, 2012",0.30932905799466237,0.030948398430241972,Pain Intensity,2,High,CBT,Inactive Control,completers,web,sr,msd,pain intensity,3,2012,ush,us,adul,42.5,0.83,possible,web,6,103,3 weeks,cog,wlc,"Carpenter, 2012 - Pain Intensity",0.17592156897390943,0.30932905799466237,3,3,"Carpenter, 2012",post,5.2,1.5,NA,63,5.7,1.7,NA,68,5.2,1.5,NA,70,5.7,1.7,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,An Online Self-help CBT Intervention for Chronic Lower Back Pain,"NA",cbt,wlc,Online Self-help CBT; Wellness Workbook; WW,3-week delay (wait-list control),pain rating,"NA","NA","NA","NA","NA","NA","NA",An Online Self-help CBT Intervention for ChronicLower Back Pain,The Clinical Journal of Pain,LR,HR,SC,LR,"NA",SC,HR,131,NA,NA,NA
"Chhabra, 2018",-0.043648034090778304,0.04306596972596846,Pain Intensity,1,Some concern,CBT + Exercise,Inactive Control,itt,app,sr,msd,pain intensity,12,2018,ush,oth,adul,"ig: 41,2 (45); cg: 41,0 (48)",NA,yes,app,"NA",44676,12 weeks,both,TAU,"Chhabra, 2018 - Pain Intensity",0.20752341970478527,-0.043648034090778304,5,4,"Chhabra, 2018",post,3.3,1.7,NA,45,3.2,2.7,NA,48,7.3,1.9,NA,45,6.6,2.1,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Smartphone app in self-management of chronic low back pain,"rot; selbst berechnen plus intervention und control, dann durch 2 geteilt",cbt + activity,tau,"intervention aims to motivate, promote and guide participants to mor physical activit",standard care,"NA","NA","NA","NA","NA","NA","NA",0.1007/s00586-018-5788-5,Smartphone app in self‑management of chronic low back pain: a randomized controlled trial,European Spine Journal,LR,LR,SC,LR,"NA",SC,SC,93,NA,NA,NA
"Garcia, 2021",0.5513257341774648,0.02320336827226642,Pain Intensity,1,Some concern,CBT,Active Control,itt,virtual,sr,msd,pain intensity,8,2021,ush,us,adul,"ig: 51,5 (89); cg: 51,4 (90)",0.765,no,VR,6,≥5 years; 67%,8 weeks,cog,sham,"Garcia, 2021 - Pain Intensity",0.1523265186113909,0.5513257341774648,6,5,"Garcia, 2021",post,2.9,1.9811360377318865,0.21,89,4,1.992234925906079,0.21,90,5.1,1.2603967629282458,0.13,94,5.2,1.2603967629282458,0.13,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,An 8-Week Self-Administered At-Home Behavioral Skills-Based VR Programm for Chronic Low Back Pain,STANDARD ERROR! Why if itt the same n everywhere??,cbt,sham,immersive pain relif skills VR programm,"sham VR, 2D nature content","NA","NA","NA","NA","NA","NA","NA",10.2196/26292,"An 8-Week Self-Administered At-Home Behavioral Skills-BasedVirtual Reality Program for Chronic Low Back Pain:Double-Blind,Randomized, Placebo-Controlled Trial Conducted DuringCOVID-19",Journal of Medical Internet Research,LR,LR,SC,LR,"NA",LR,SC,179,NA,NA,NA
"Irvine, 2015",0.1284394185003581,0.00756337437539631,Pain Intensity,0,Low,CBT + Exercise,Active + Inactive,itt,app,sr,msd,pain intensity,8,2015,ush,us,adul,"NA",0.6,yes,smartphone,3,n.i.,8 weeks?,both,TAU + alternative,"Irvine, 2015 - Pain Intensity",0.10042230616954387,0.1277459081933679,9,6,"Irvine, 2015",post,2.23,1.2,NA,199,2.3899999999999997,1.2650000000000001,NA,199,2.59,1.15,NA,199,2.735,1.1749999999999998,NA,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Mobile-Web App to Self-Manage Low Back Pain,"three armed study; 2 control groups; tau and alternative care; mean female % calculated; i dont understand if itt, why n= 199 everywhere?!",cbt + activity,tau,"education and behavioral strategies; exercises; text articles, videos, self-care activities",treatment as usual,"NA","NA","NA","NA","NA","NA","NA",10.2196/jmir.3130,Mobile-Web App to Self-Manage Low Back Pain:RandomizedControlled Trial,Journal of Medical Internet Research,LR,LR,LR,LR,"NA",LR,LR,398,NA,NA,NA
"Krein, 2013",0.09484780563292475,0.01934962088873801,Pain Intensity,1,Some concern,CBT + Exercise,Inactive Control,itt,web,sr,msd,pain intesity,48,2013,ush,us,adul,"ig: 51,2 (111); cg: 51,9 (118)",0.13,possible,website,3,n.i.,12 months/48 weeks?,both (cog + activity); not really exercise,TAU with pedometer,"Krein, 2013 - Pain Intensity",0.13910291473846984,0.09484780563292475,16,7,"Krein, 2013",post,5.4,2.2,NA,102,5.6,2,NA,105,6,1.9,NA,111,6.1,1.6,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Pedometer-Based Internet-Mediated Intervention For Adults With Chronic Low Back Pain,"NA",cbt + activity,tau,"pedometer + website with walking goals, feedback, motivational messages, e-community",treatment as usual + pedometer,"NA","NA","NA","NA","NA","NA","NA",10.2196/jmir.2605,Pedometer-Based Internet-Mediated Intervention For Adults WithChronic Low Back Pain:Randomized Controlled Trial,Journal of Medical Internet Research,LR,LR,SC,LR,"NA",LR,SC,207,NA,NA,NA
"Özden, 2021",0.75559036897847065,0.06458409192211252,Pain Intensity,2,High,Exercise,Active Control,completers,web,cr,"NA",pain intensity (rest),8,2021,ush,oth,adul,41.2,0.6,possible,website,3,44702,8 weeks,exer,exercises on paper,"Özden, 2021 - Pain Intensity",0.29366463838460644,0.7425830430287729,17.5,8,"Özden, 2021",post,1.25,1.5,NA,25,3.1500000000000004,3.1500000000000004,NA,25,3.5,2.15,NA,25,3.15,3.05,NA,25,-2.28,-1.16,2.3214285714285716,2.225765306122449,-3.185,-1.365,-2.0300000000000002,-0.28500000000000003,25,25,2,"The effect of video exercise-based telerehabilitation on clinical outcomes, expectation, satisfaction, and motivation in patients with chronic low back pain",is it change or msd?,exercises,modified,video-based exercise training (Fizyoweb),same exercises in paper form,"NA","NA","NA","NA","NA","NA","NA",10.1007/s11845-021-02727-8,"The effect of video exercise‑based telerehabilitation on clinical outcomes, expectation, satisfaction, and motivation in patients with chronic low back pain",Irish Journal of Medical Science,LR,HR,SC,LR,"NA",LR,HR,50,NA,NA,NA
"Yang, 2017",0.8755547303660784,0.7664838653471894,Pain Intensity,1,Some concern,Exercise,Active Control,itt,app,sr,msd,pain intensity,4,2017,ush,eas,adul,"ig: 35 (5); cg: 50,33 (3)",0.5,yes,smartphone,3,44677,4 weeks,exer,physiotherapy,"Yang, 2017 - Pain Intensity",0.8754906426382806,0.8755547303660783,19,9,"Yang, 2017",post,3.4,2.88,NA,3,6,1.73,NA,3,5,1.87,NA,5,6,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Smartphone-Based Remote Self-Management of Chronic Low Back Pain,"NA",activity,physiotherapy,self-management program via app; reminder of exercises & pain diary,4 weeks physiotherapy,"NA","NA","NA","NA","NA","NA","NA",10.1155/2019/4632946,Smartphone-Based Remote Self-Management of Chronic LowBack Pain: A Preliminary Study,Journal of Healthcare Engineering,SC,LR,LR,LR,"NA",SC,SC,6,NA,NA,NA
"Zadro, 2018",0.25163631436432,0.06960847716053181,Pain Intensity,2,High,Exercise,Inactive Control,itt,virtual,cr,msd,pain intensity,8,2018,gsh,us,old,68.3,0.517,no,video game,3,n.i.,8 weeks,exer,TAU,"Zadro, 2018 - Pain Intensity",0.263834184973312,0.25163631436432,20,10,"Zadro, 2018",post,3.8,2.4,NA,30,4.4,2.3,NA,28,5.2,1.6,NA,30,4.8,1.7,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Video-Game-Based Exercises for Older People With Chronic Low Back Pain,"NA",exercises,tau,"Wii Fit U flexibility, stregthening, and areobic exercises + fortnightly calls from a physical therapist",usual activities,"NA","NA","NA","NA","NA","NA","NA","NA",Video-Game–Based Exercises forOlder People With Chronic Low BackPain: A Randomized ControlledtableTrial (GAMEBACK),Physical Therapy,LR,LR,LR,LR,"NA",HR,HR,58,NA,NA,NA
